id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1118007923458732032,Tue Apr 16 04:27:15 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@smitabarooah @ModiOnceMore This video show how #Modi #Government did #effective #works in all the fields.,smitabarooah ModiOnceMore This video show Modi Government effective works fields,"Sentiment(polarity=0.6, subjectivity=0.8)",0.6,0.8,en,0,0,wanderlust_hims,,"Modi, Government, effective, works","smitabarooah, ModiOnceMore",Twitter,
1118007893612060672,Tue Apr 16 04:27:08 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @NandiniOza: A day after his sister n father joined the #Congress, @imjadeja extends support to the #BJP . Tags @narendramodi in his #Tw…",RT NandiniOza A day sister n father joined Congress imjadeja extends support BJP Tags narendramodi Tw…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,1,RajeevS27545206,,"Congress, BJP","NandiniOza, imjadeja, narendramodi","Delhi, India",
1118007855020331009,Tue Apr 16 04:26:58 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @dpradhanbjp: Glimpses of the massive gathering and support for #BJP during the #VijaySankalpYatra at Bhubaneswar North Constituency. Ca…,RT dpradhanbjp Glimpses massive gathering support BJP VijaySankalpYatra Bhubaneswar North Constituency Ca…,"Sentiment(polarity=0.0, subjectivity=1.0)",0.0,1.0,en,0,866,Anushka97223405,,"BJP, VijaySankalpYatra",dpradhanbjp,,
1118007830320242688,Tue Apr 16 04:26:52 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @JhaSanjay: Dear @ArvindKejriwal Ji: Let’s do a clean sweep of Delhi together. The defeat of the #BJP is crucial to Delhi’s independent…,RT JhaSanjay Dear ArvindKejriwal Ji Let ’ clean sweep Delhi together The defeat BJP crucial Delhi ’ independent…,"Sentiment(polarity=0.18333333333333335, subjectivity=0.8500000000000001)",0.18333333333333335,0.8500000000000001,en,0,648,YasminKidwai,,BJP,"JhaSanjay, ArvindKejriwal",New Delhi,
1118007773000716288,Tue Apr 16 04:26:39 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@kavitavkhanna @VinodKhanna @BJP4India @PMOIndia @narendramodi @BJPPunjab Why delay in announcing #BJP candidate fo… https://t.co/OBJ4Hpp1Yh,kavitavkhanna VinodKhanna BJP4India PMOIndia narendramodi BJPPunjab Why delay announcing BJP candidate fo… https //t.co/OBJ4Hpp1Yh,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,vineetypmehta,,BJP,"kavitavkhanna, VinodKhanna, BJP4India, PMOIndia, narendramodi, BJPPunjab",India,
1118007764851122181,Tue Apr 16 04:26:37 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @drshamamohd: Why has EC not taken action against PM #Modi &amp; @AmitShah for violating code of conduct?

Both are serial offenders who hav…",RT drshamamohd Why EC taken action PM Modi amp AmitShah violating code conduct Both serial offenders hav…,"Sentiment(polarity=0.1, subjectivity=0.1)",0.1,0.1,en,0,37,praveenr9632,,Modi,"drshamamohd, AmitShah","Bengaluru, India",
1118007748954861568,Tue Apr 16 04:26:33 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @satishacharya: Vote for! Cartoon for @AmarUjalaNews #2019Elections  #Modi #Pulwama https://t.co/zCdVrq7ogV,RT satishacharya Vote Cartoon AmarUjalaNews 2019Elections Modi Pulwama https //t.co/zCdVrq7ogV,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,38,kalmanacpk,False,"2019Elections, Modi, Pulwama","satishacharya, AmarUjalaNews",,
1118007735432298496,Tue Apr 16 04:26:30 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @sachinsingh1010: 75 year old Govindraj killed for praising #Modi,incident took place near a Orthanadu village in Tanjore, #TamilNadu
#G…",RT sachinsingh1010 75 year old Govindraj killed praising Modi incident took place near Orthanadu village Tanjore TamilNadu G…,"Sentiment(polarity=0.0, subjectivity=0.20000000000000004)",0.0,0.20000000000000004,en,0,5638,imabhishek_21,,"Modi, TamilNadu",sachinsingh1010,mumbai,
1118007621884219392,Tue Apr 16 04:26:03 +0000 2019,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",#Modi got made 14000 houses for #SriLanka's Tamil people devastated by the war. #Aljazeera channel has covered this… https://t.co/76OQE4i4Ru,Modi got made 14000 houses SriLanka 's Tamil people devastated war Aljazeera channel covered this… https //t.co/76OQE4i4Ru,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,nareshbehera,False,"Modi, SriLanka, Aljazeera",,"Bhubaneshwar, India",
1118007618172325894,Tue Apr 16 04:26:02 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Raksha_Kumar: Quick question: if #Demonetisation was so successful, why is it not a political issue for the #BJP? Why aren't they going…",RT Raksha_Kumar Quick question Demonetisation successful political issue BJP Why n't going…,"Sentiment(polarity=0.3611111111111111, subjectivity=0.5166666666666667)",0.3611111111111111,0.5166666666666667,en,0,65,DeathEndsFun,,"Demonetisation, BJP",Raksha_Kumar,"Bombay, India",
