id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1.11801E+18,Tue Apr 16 04:24:49 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@INCMaharashtra President Rahul Gandhi addresses public meeting in Nanded, Maharashtra

LIVE :… https://t.co/CwmOLFn9jV",INCMaharashtra President Rahul Gandhi addresses public meeting Nanded Maharashtra LIVE … https //t.co/CwmOLFn9jV,"Sentiment(polarity=0.06818181818181818, subjectivity=0.2833333333333333)",0.068181818,0.283333333,en,0,0,CreationDare,FALSE,,INCMaharashtra,"Hyderabad, India",
1.11801E+18,Tue Apr 16 04:19:30 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @VakilBharati: @Ra_Bies New verb is introduced in English based on the personality traits of #RahulGandhi

It's called as 'Rahulled' (ve…",RT VakilBharati Ra_Bies New verb introduced English based personality traits RahulGandhi It 's called 'Rahulled ve…,"Sentiment(polarity=0.06818181818181818, subjectivity=0.22727272727272727)",0.068181818,0.227272727,en,0,6,gauravshakya3,,RahulGandhi,"VakilBharati, Ra_Bies","Kanpur, India",
1.11801E+18,Tue Apr 16 04:18:06 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@akhileshsharma1 @ModiBharosa #RahulGandhi thinks he is above the law! What arrogance!! People wake up!!! Teach the… https://t.co/OHZbrydRbd,akhileshsharma1 ModiBharosa RahulGandhi thinks law What arrogance People wake Teach the… https //t.co/OHZbrydRbd,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,0,sanjivarjungaur,,RahulGandhi,"akhileshsharma1, ModiBharosa",Noida,
1.118E+18,Tue Apr 16 04:14:06 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@ShobitArya @vinay1011 @ShashiTharoor and how can we forget what #RahulGandhi did when he met aling #parikar ji  wh… https://t.co/cq7H9fMoV7,ShobitArya vinay1011 ShashiTharoor forget RahulGandhi met aling parikar ji wh… https //t.co/cq7H9fMoV7,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,0,air_my_views,,"RahulGandhi, parikar","ShobitArya, vinay1011, ShashiTharoor","Ambernath,india",
1.118E+18,Tue Apr 16 04:13:48 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#Jayaprada been abused by #AzamKhan. Pseudo secular leaders @MamataOfficial @priyankagandhi @Supriyasule_… https://t.co/SHMzcVvngY,Jayaprada abused AzamKhan Pseudo secular leaders MamataOfficial priyankagandhi Supriyasule_… https //t.co/SHMzcVvngY,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,0,uppalj,,"Jayaprada, AzamKhan","MamataOfficial, priyankagandhi, Supriyasule_",Gurgaon ,
1.118E+18,Tue Apr 16 04:08:46 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@JM_Scindia @RajBabbarMP @RahulGandhi @priyankagandhi @OfficeOfRG  @AICCMedia  @INCIndia 
#NYAY to be catalyst of g… https://t.co/THB3ZgkwWO",JM_Scindia RajBabbarMP RahulGandhi priyankagandhi OfficeOfRG AICCMedia INCIndia NYAY catalyst g… https //t.co/THB3ZgkwWO,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,0,5dariyanews,FALSE,NYAY,"JM_Scindia, RajBabbarMP, RahulGandhi, priyankagandhi, AICCMedia, INCIndia","kharar (S.A.S. Nagar,Mohali)",
1.118E+18,Tue Apr 16 04:07:59 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @chitraSD: Jogging #RahulGandhi’s memory about family friend &amp; middleman #OttavioQuattrocchi &amp; the loot of contracts by his #Snamprogett…,RT chitraSD Jogging RahulGandhi ’ memory family friend amp middleman OttavioQuattrocchi amp loot contracts Snamprogett…,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,120,PopcornYogic,,"RahulGandhi, OttavioQuattrocchi",chitraSD,,
1.118E+18,Tue Apr 16 04:06:33 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Public’s hard-earned money goes into campaigning for PM: Rahul
#Publicmoney #campaigning #PMModi #RahulGandhi #BJP… https://t.co/ZmWOStmRUT",Public ’ hard-earned money goes campaigning PM Rahul Publicmoney campaigning PMModi RahulGandhi BJP… https //t.co/ZmWOStmRUT,"Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",0,0.066666667,en,0,0,pennewstweet,FALSE,"Publicmoney, campaigning, PMModi, RahulGandhi, BJP",,,
1.118E+18,Tue Apr 16 04:06:13 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#BharatBoleModiFirSe 

Why #RahulGandhi often raise his right leg?

Because he learnt how to Pee from his dog Pidi.… https://t.co/tJBBlEJUgj",BharatBoleModiFirSe Why RahulGandhi often raise right leg Because learnt Pee dog Pidi.… https //t.co/tJBBlEJUgj,"Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)",0.285714286,0.535714286,en,0,0,SumanSonivds,FALSE,"BharatBoleModiFirSe, RahulGandhi",,"Vidisha, India",
1.118E+18,Tue Apr 16 04:06:03 +0000 2019,"<a href=""https://apps.twitter.com/app/new"" rel=""nofollow"">Kerala No.1</a>","RT @pennewstweet: Manufacturing court order is new low for Rahul Gandhi: Jaitley 
#Manufacturing #courtorder #RahulGandhi #ArunJaitley #BJP…",RT pennewstweet Manufacturing court order new low Rahul Gandhi Jaitley Manufacturing courtorder RahulGandhi ArunJaitley BJP…,"Sentiment(polarity=0.06818181818181818, subjectivity=0.37727272727272726)",0.068181818,0.377272727,en,0,1,TheKeralaNo1,,"Manufacturing, courtorder, RahulGandhi, ArunJaitley, BJP",pennewstweet,,
